n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
200,0.1414213562373095,9,SIGN Bidirectional,7.84100204879497,0.33999999999999997,0.007002525248657285,0.013361707999990813,0.0008642920000170307,0.010929999999973461,,,,,,,,,0.013361707999990813,0.013354999999990014,6.708000000799075e-06,0.025155999999981304,,,,,,,,,,,,,,,,,,,,,,,,5.358399999977337e-05,12.0,2.0,0.0017098330000067108,0.0004502499999716747,0.00012804099998220408,0.00025616700003183723,8.208999986436538e-06,0.010748916000011377
200,0.1414213562373095,10,Random Projection,7.205639385248607,0.32999999999999996,0.012295776361057525,0.01825624999997899,0.0008401669999784644,0.01155033300000241,4.837500000576256e-05,0.0004164590000073076,0.000353500000016993,0.0001307500000393702,0.00016858300000421877,0.0003262080000467904,1.1666999967019365e-05,0.01679412499998989,0.01825624999997899,0.018249667000077352,6.5829999016386864e-06,0.030646749999959866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,10,Random Sampling,9.185382965623486,0.27,0.008954631778020111,0.020987916000024143,0.0008401669999784644,0.010387999999977637,,,,,,,,,0.020987916000024143,0.020983708000017032,4.208000007110968e-06,0.032216082999980244,0.00034962499995572216,0.0002897080000252572,0.009763333000023522,7.945900000549955e-05,7.358300001669704e-05,0.010427999999990334,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,10,Non-random,8.670869095773186,0.2,0.0050739016271279525,0.03655550000001995,0.0008401669999784644,0.012008541999989575,,,,,,,,,0.03655550000001995,0.0365521250000711,3.37499994884638e-06,0.049404208999987986,,,,,,,0.019474833000003855,0.017064042000015434,1.3250000051812094e-05,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,10,CountSketch,7.5264983581017555,0.39,0.016566992652673113,0.012830209000014747,0.0008401669999784644,0.012568999999984953,,,,,,,,,0.012830209000014747,0.013202915000078974,0.0,0.026239375999978165,,,,,,,,,,8.262500000455475e-05,12.0,12.0,27.0,0.0,0.00040883299999450173,0.00040883299999450173,0.0003399170000193408,0.0003517079999824091,0.00010558299999274823,0.00014033299999027804,0.0002730000000497057,8.333000039328908e-06,0.011083750000011605,,,,,,,,,
200,0.1414213562373095,10,SIGN Bidirectional,7.27237597118406,0.4,0.020280647829216458,0.012777458000016395,0.0008401669999784644,0.011967665999975452,,,,,,,,,0.012777458000016395,0.012770585000112078,6.872999904317112e-06,0.02558529099997031,,,,,,,,,,,,,,,,,,,,,,,,5.745800001477619e-05,12.0,2.0,0.001697959000011906,0.00047087500001907756,0.00012225000000398722,0.0002865840000367825,9.625000018331775e-06,0.010125834000007217
200,0.1414213562373095,11,Random Projection,6.9948579325339475,0.26,0.004881061404000686,0.012246791999984907,0.0008476250000057917,0.010567915999956767,4.829100004144493e-05,0.00046495899999854373,0.0003604999999993197,9.22499999660431e-05,0.00012533299997130598,0.00027062499998464773,8.33299998248549e-06,0.010871124999994208,0.012246791999984907,0.012241415999937999,5.3760000469083025e-06,0.023662332999947466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,11,Random Sampling,8.98431088638912,0.44000000000000006,0.010659369350798115,0.029556499999955577,0.0008476250000057917,0.012309667000010904,,,,,,,,,0.029556499999955577,0.029552250000108415,4.249999847161234e-06,0.04271379199997227,0.00025354100000640756,0.0002741249999758111,0.01399766700001237,4.829200003086953e-05,5.466700002898506e-05,0.014923958000053972,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,11,Non-random,8.663812041267732,0.15000000000000002,0.0074983113527181955,0.03115325000004532,0.0008476250000057917,0.011147459000028448,,,,,,,,,0.03115325000004532,0.031148958999892784,4.291000152534252e-06,0.04314833400007956,,,,,,,0.02077699999995275,0.010357416999966063,1.4541999973971542e-05,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,11,CountSketch,7.232022266417543,0.35,0.012446545445918139,0.015710124999998243,0.0008476250000057917,0.012011542000038844,,,,,,,,,0.015710124999998243,0.015955377000011595,0.0,0.02856929200004288,,,,,,,,,,5.2917000004981674e-05,12.0,13.0,21.0,0.0,0.0002696250000440159,0.0002696250000440159,0.0003736669999625519,0.0003174590000298849,8.412500000076761e-05,0.00011133399999607718,0.00026233299996647474,5.6249999715873855e-06,0.014208666999991237,,,,,,,,,
