n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
200,0.1414213562373095,15,Random Projection,8.136124788298561,0.28,0.0206422788124995,0.0649235410091932,0.0013298749981913,0.003183666995028,1.2707983842119576e-05,0.0001435829908587,4.858398460783064e-05,2.995898830704391e-05,2.5542016373947263e-05,3.23750136885792e-05,2.2909953258931637e-06,0.0646271250152494,0.0649235410091932,0.0649221669882536,1.3740209396928549e-06,0.0694370830024126,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,15,Random Sampling,8.882725539875027,0.29,0.0208914205003707,0.0667728749976959,0.0013298749981913,0.0051070000045001,,,,,,,,,0.0667728749976959,0.0667687489767558,4.12602094002068e-06,0.0732097500003874,0.003705874987645,0.0005268749955575,0.0087334580020979,5.3208001190796494e-05,7.712500519119203e-05,0.0536722079850733,,,,,,,,,,,,
200,0.1414213562373095,15,Non-random,8.750722622884425,0.13,0.0110440177239093,0.0751409579825121,0.0013298749981913,0.0016610829916317,,,,,,,,,0.0751409579825121,0.0751402079768013,7.500057108700275e-07,0.0781319159723352,,,,,,,0.0103870829916559,0.0647459999890998,7.124996045604348e-06,,,,,,,,,
200,0.1414213562373095,16,Random Projection,6.9309309005592405,0.36,0.0104984867462278,0.0639317079912871,0.0008072920027188,0.0013116670015733,2.2500025806948543e-05,0.0004079580248799,0.0001690829813014,7.579199154861271e-05,9.566600783728064e-05,7.087501580826938e-05,5.459005478769541e-06,0.0630810000002384,0.0639317079912871,0.0639283330528996,3.3749383874237537e-06,0.0660506669955793,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,16,Random Sampling,9.00768052597726,0.42,0.0136534025226067,0.0541078330134041,0.0008072920027188,0.0012029579957015,,,,,,,,,0.0541078330134041,0.0541042500117328,3.583001671358943e-06,0.0561180830118246,0.0003056669957004,0.0005079170223325,0.0027643749781418,1.679101842455566e-05,4.874999285675585e-05,0.0504607500042766,,,,,,,,,,,,
200,0.1414213562373095,16,Non-random,8.368669692336738,0.23,0.0119709732729125,0.0952610420063138,0.0008072920027188,0.0056112919992301,,,,,,,,,0.0952610420063138,0.0952601250028237,9.170034900307656e-07,0.1016796260082628,,,,,,,0.0098381249990779,0.0854150000086519,6.999995093792677e-06,,,,,,,,,
200,0.1414213562373095,17,Random Projection,7.341267421946085,0.26,0.0104767466481733,0.0579697920184116,0.0007217919919639,0.0053130830056034,2.0333012798801064e-05,0.000296708982205,8.358398918062449e-05,7.262500002980232e-05,7.03750120010227e-05,5.529099144041538e-05,4.5000051613897085e-06,0.0573639160138554,0.0579697920184116,0.0579673330066725,2.4590117391198874e-06,0.064004667015979,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,17,Random Sampling,9.497778494182116,0.38,0.0548440668804053,0.0483982079895213,0.0007217919919639,0.0028358749987091,,,,,,,,,0.0483982079895213,0.0483940840058494,4.123983671888709e-06,0.0519558749801944,0.0003883750177919,0.0003915420093107,0.0021194579894654,5.166701157577336e-05,8.154197712428868e-05,0.0453615000005811,,,,,,,,,,,,
200,0.1414213562373095,17,Non-random,8.412563331937381,0.1699999999999999,0.0032721877851107,0.0570497910084668,0.0007217919919639,0.0015193749859463,,,,,,,,,0.0570497910084668,0.0570483749906998,1.4160177670419216e-06,0.0592909579863771,,,,,,,0.0069503329868894,0.0500911670096684,6.874994141981006e-06,,,,,,,,,
200,0.1414213562373095,18,Random Projection,7.430140072523193,0.54,0.0157704010926245,0.044703457999276,0.0008332500001415,0.0013609160087071,2.008301089517772e-05,0.0003003749880008,8.541700663045049e-05,6.79589866194874e-05,7.004098733887076e-05,6.616697646677494e-05,4.792003892362118e-06,0.0440864999836776,0.044703457999276,0.0447013339435216,2.124055754393339e-06,0.0468976240081246,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,18,Random Sampling,9.041907848640372,0.4499999999999999,0.0038361093086799,0.0533472079841885,0.0008332500001415,0.0017039579979609,,,,,,,,,0.0533472079841885,0.0533430819632485,4.12602094002068e-06,0.0558844159822911,0.0006644579989369,0.000409166997997,0.0030833749915473,4.449998959898949e-05,6.366599700413644e-05,0.049077915988164,,,,,,,,,,,,
200,0.1414213562373095,18,Non-random,8.647765277298609,0.22,0.0016999455378384,0.0455370419949758,0.0008332500001415,0.0018593330169096,,,,,,,,,0.0455370419949758,0.0455362079956103,8.33999365568161e-07,0.0482296250120271,,,,,,,0.0054247500083874,0.0401043749880045,7.0829992182552814e-06,,,,,,,,,
200,0.1414213562373095,19,Random Projection,6.946304654574432,0.47,0.0133764062992191,0.0656923339993227,0.001427249982953,0.0012618750042747,1.966700074262917e-05,0.000303167005768,8.333299774676561e-05,6.779201794415712e-05,6.970798131078482e-05,5.4791016736999154e-05,4.582980182021856e-06,0.0650868750235531,0.0656923339993227,0.0656899160239845,2.417975338175893e-06,0.0683814589865505,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,19,Random Sampling,9.010579539587194,0.27,0.0102787997645055,0.0298974580073263,0.001427249982953,0.0027485000027809,,,,,,,,,0.0298974580073263,0.0298939999775029,3.4580298233777285e-06,0.0340732079930603,0.0002655409916769,0.0011960839910898,0.0011699580063577,1.966700074262917e-05,3.087500226683915e-05,0.0272118749853689,,,,,,,,,,,,
