n,alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec
400,0.1,15,SIGN,0.0927556671667844,0.0030644170474261045,0.018987833056598902,4.8708170652389526e-05,12,2,0.0014303750358521938,0.00140420813113451,0.0001610829494893551,0.00010179192759096622,4.499917849898338e-06,0.08959629200398922,0.0927556671667844,0.09274695813655853,8.709030225872993e-06,0.11480791727080941
400,0.1,16,SIGN,0.08787895808927715,0.003785459091886878,0.022034374997019768,3.041699528694153e-05,12,2,0.0013937919866293669,0.0018897908739745617,0.0006458340212702751,9.125005453824997e-05,1.0791933164000511e-05,0.083812166005373,0.08787895808927715,0.0878740418702364,4.916219040751457e-06,0.1136987921781838
400,0.1,17,SIGN,0.07585012493655086,0.0021029161289334297,0.017689290922135115,3.858399577438831e-05,12,2,0.003713125130161643,0.004046667134389281,0.0007772089447826147,0.00011887494474649429,1.5291152521967888e-05,0.06713500013574958,0.07585012493655086,0.07584475143812597,5.373498424887657e-06,0.0956423319876194
400,0.1,18,SIGN,0.07881529186852276,0.0031196249183267355,0.01721266587264836,2.174987457692623e-05,12,2,0.008400124963372946,0.0017751248087733984,0.0006236250046640635,7.762503810226917e-05,7.541850209236145e-06,0.06790529214777052,0.07881529186852276,0.07881108368746936,4.20818105340004e-06,0.09914758265949786
400,0.1,19,SIGN,0.06803729105740786,0.0027872498612850904,0.020238999975845218,3.824988380074501e-05,12,2,0.003443750087171793,0.0005189999938011169,0.0001763750333338976,5.03340270370245e-05,2.9997900128364563e-06,0.06380204181186855,0.06803729105740786,0.06803275062702596,4.540430381894112e-06,0.09106354089453816
400,0.1,20,SIGN,0.06049687508493662,0.0030354580376297235,0.015615166164934635,2.7749920263886452e-05,12,2,0.0011821670923382044,0.001063792034983635,0.0006968330126255751,7.962505333125591e-05,7.833121344447136e-06,0.05743441707454622,0.06049687508493662,0.06049241730943322,4.457775503396988e-06,0.07914749928750098
600,0.08164965809277261,1,SIGN,0.06995995785109699,0.008702708873897791,0.034801125060766935,4.108389839529991e-05,12,2,0.0016764579340815544,0.0012489999644458294,0.00014262483455240726,3.2916897907853127e-05,3.6249402910470963e-06,0.06680899998173118,0.06995995785109699,0.06995470845140517,5.249399691820145e-06,0.11346379178576171
600,0.08164965809277261,2,SIGN,0.10374820814467967,0.007392624858766794,0.03425679192878306,3.487500362098217e-05,12,2,0.0115557920653373,0.003400875022634864,0.0001821247860789299,6.05839304625988e-05,4.458008334040642e-06,0.08850479102693498,0.10374820814467967,0.1037434998434037,4.708301275968552e-06,0.14539762493222952
600,0.08164965809277261,3,SIGN,0.09753012494184077,0.004206999903544784,0.03930179192684591,3.079208545386791e-05,12,2,0.005556750111281872,0.001048457808792591,0.00019316677935421467,4.433305002748966e-05,3.875000402331352e-06,0.09064887510612607,0.09753012494184077,0.09752624994143844,3.875000402331352e-06,0.14103891677223146
600,0.08164965809277261,4,SIGN,0.05514558288268745,0.003508166875690222,0.045903332997113466,3.200001083314419e-05,12,2,0.006504124961793423,0.0014860830269753933,0.0007798341102898121,8.591706864535809e-05,9.167008101940155e-06,0.0462437910027802,0.05514558288268745,0.05514091718941927,4.6656932681798935e-06,0.10455708275549114
600,0.08164965809277261,5,SIGN,0.08040162501856685,0.0071310841012746096,0.03605879098176956,6.083282642066479e-05,12,2,0.007217542035505176,0.004526416072621942,0.0003916248679161072,5.704187788069248e-05,4.791887477040291e-06,0.06813754187896848,0.08040162501856685,0.0803957914467901,5.8335717767477036e-06,0.12359150010161102
600,0.08164965809277261,6,SIGN,0.07382262498140335,0.0045646249782294035,0.033213917165994644,3.2667070627212524e-05,12,2,0.0017399999778717756,0.0010137089993804693,0.00023387488909065723,5.4999953135848045e-05,5.166977643966675e-06,0.07073775003664196,0.07382262498140335,0.07381816790439188,4.457077011466026e-06,0.1116011671256274
600,0.08164965809277261,7,SIGN,0.08592745801433921,0.006891499971970916,0.04429795895703137,3.0208146199584007e-05,12,2,0.009624375030398369,0.001372041879221797,0.0013195842038840055,0.0001346671488136053,1.3208948075771332e-05,0.07342583406716585,0.08592745801433921,0.08591991942375898,7.538590580224991e-06,0.1371169169433415
600,0.08164965809277261,8,SIGN,0.05706987506709993,0.00444216700270772,0.034243332920596004,6.229104474186897e-05,12,2,0.007835292024537921,0.0016944999806582928,0.0013743750751018524,0.00012595788575708866,9.541865438222885e-06,0.045959125040099025,0.05706987506709993,0.05706108291633427,8.792150765657425e-06,0.09575537499040365
600,0.08164965809277261,9,SIGN,0.06837195809930563,0.00807220907881856,0.03702520905062556,3.4458935260772705e-05,12,2,0.007960167014971375,0.002055124845355749,0.0012235830072313547,0.00012366706505417824,1.3832934200763702e-05,0.056952415965497494,0.06837195809930563,0.06836324976757169,8.708331733942032e-06,0.11346937622874975
