K,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
2,11,Random Projection,14.10765430052134,0.0,0.0009066928081474,0.0835443339892663,0.0296196249837521,0.2000365419953595,6.425002356991172e-05,0.0046266250137705,0.0003440839936956,0.0041241659782826,0.0012433750089257,8.170798537321389e-05,7.417023880407214e-06,0.0730453750002197,0.0835443339892663,0.083537000027718,7.333961548283696e-06,0.313200500968378,,,,,,,,,,,,,,,,,,
2,11,Random Sampling,17.76247246076214,0.0,0.0011362402651468,0.076813708001282,0.0296196249837521,0.1206306249951012,,,,,,,,,0.076813708001282,0.076805751043139,7.956958143040538e-06,0.2270639579801354,0.0062609590240754,0.0093592079938389,0.0126310420164372,0.0051296249730512,0.0015432920190505,0.0418816250166855,,,,,,,,,,,,
2,11,Non-random,24.150964863949714,0.0,0.0009006076388888,0.318732000014279,0.0296196249837521,0.118189208995318,,,,,,,,,0.318732000014279,0.3187302080041263,1.7920101527124643e-06,0.4665408339933492,,,,,,,0.2661329160036985,0.0518659169902093,0.0007313750102184,,,,,,,,,
2,12,Random Projection,13.676252271630691,0.0,0.0012339317180408,0.0770586250000633,0.028830041992478,0.1558057090151123,0.0001084169780369,0.003076791006606,0.0007314579852391,0.0010529170103836,0.0050883749790955,0.0001244579907506,1.6583013348281384e-05,0.0668529999966267,0.0770586250000633,0.077051998960087,6.6260399762541056e-06,0.2616943760076538,,,,,,,,,,,,,,,,,,
2,12,Random Sampling,17.700511124287782,0.0,0.0007668298381504,0.093261915986659,0.028830041992478,0.1320218330074567,,,,,,,,,0.093261915986659,0.093255833024159,6.082962499931455e-06,0.2541137909865938,0.0073944999894592,0.0160496660100761,0.0133332920086104,0.003032875014469,0.0033635419968049,0.0500819580047391,,,,,,,,,,,,
2,12,Non-random,24.013426078073287,0.0,0.0010706018518518,0.281483083992498,0.028830041992478,0.1513788749871309,,,,,,,,,0.281483083992498,0.2814814170124009,1.6669800970703363e-06,0.461692000972107,,,,,,,0.2213618750101886,0.0593868330179248,0.0007327089842874,,,,,,,,,
2,13,Random Projection,13.49087509355261,0.0,0.0011906817920292,0.0951694170071277,0.0356483340146951,0.1478278330178,6.212500738911331e-05,0.0053437500027939,0.0003399999986868,0.0007383750053122,0.0023012919991742,0.0001301660086028,1.6457983292639256e-05,0.0862317499995697,0.0951694170071277,0.0951639160048216,5.5010023061186075e-06,0.2786455840396229,,,,,,,,,,,,,,,,,,
2,13,Random Sampling,17.57853152182211,0.0,0.0005192211192371,0.1014531250111758,0.0356483340146951,0.1188295830215793,,,,,,,,,0.1014531250111758,0.1014456669799983,7.458031177520752e-06,0.2559310420474503,0.0062300410063471,0.0174143749754875,0.0105769590009003,0.0018639170157257,0.0039859999960754,0.061374374985462,,,,,,,,,,,,
2,13,Non-random,23.730234739428216,0.0,0.0010947145061728,0.3065231250075158,0.0356483340146951,0.1650200419826433,,,,,,,,,0.3065231250075158,0.3065213749650866,1.7500424291938543e-06,0.5071915010048542,,,,,,,0.251109999982873,0.054769957991084,0.0006414169911295,,,,,,,,,
2,14,Random Projection,13.48533953770082,0.0,0.0017899767888222,0.1143500829930417,0.0257357920054346,0.1722626250120811,5.983299342915416e-05,0.0065400000021327,0.0001819999888539,0.000441124982899,0.0009902090241666,5.495900404639542e-05,6.290996680036187e-06,0.1060730410099495,0.1143500829930417,0.1143474580021575,2.6249908842146397e-06,0.3123485000105575,,,,,,,,,,,,,,,,,,
