K,rep,method,time_sec,instance_gen_sec,metric_eval_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec
3,1,SIGN,0.07754558394663036,0.023814915912225842,0.16329916683025658,0.00014720787294209003,13,2,0.006856417050585151,0.007305125007405877,0.0007868329994380474,6.133317947387695e-05,9.00006853044033e-06,0.06237258296459913,0.07754558394663036,0.07753849914297462,7.084803655743599e-06,0.2646596666891128
3,2,SIGN,0.06883858400397003,0.029195833019912243,0.17008320800960064,6.733299233019352e-05,13,2,0.0038204172160476446,0.013020750135183334,0.002664250088855624,6.41669612377882e-05,1.0166782885789871e-05,0.0491845419164747,0.06883858400397003,0.06883162609301507,6.95791095495224e-06,0.2681176250334829
3,3,SIGN,0.05238637491129339,0.02523816702887416,0.18435654207132757,6.700004450976849e-05,13,2,0.004541957983747125,0.008990000002086163,0.0007232078351080418,0.00014712498523294926,2.6207882910966873e-05,0.03788395784795284,0.05238637491129339,0.052379456581547856,6.918329745531082e-06,0.2619810840114951
3,4,SIGN,0.05034466693177819,0.023501832969486713,0.1818146661389619,0.00011837505735456944,13,2,0.005838667042553425,0.007029334083199501,0.0046558750327676535,7.254094816744328e-05,9.37492586672306e-06,0.0326132089830935,0.05034466693177819,0.050337376073002815,7.2908587753772736e-06,0.2556611660402268
3,5,SIGN,0.07347220904193819,0.01889483304694295,0.18003679206594825,8.041691035032272e-05,13,2,0.009148916928097606,0.005684291943907738,0.0009914999827742577,6.462493911385536e-05,9.082956239581108e-06,0.05748525005765259,0.07347220904193819,0.07346408371813595,8.125323802232742e-06,0.2724038341548294
3,6,SIGN,0.06501058302819729,0.019950625021010637,0.11739149992354214,0.0001231660135090351,13,2,0.0038437501061707735,0.00420737499371171,0.0009456658735871315,5.862489342689514e-05,9.37492586672306e-06,0.0558164999820292,0.06501058302819729,0.06500445678830147,6.126239895820618e-06,0.20235270797275007
3,7,SIGN,0.07741695898585021,0.017937917029485106,0.21995562501251698,0.00021195807494223118,13,2,0.010865416843444109,0.0073035419918596745,0.005205790977925062,6.75420742481947e-05,8.667120710015297e-06,0.05374616687186062,0.07741695898585021,0.07740908395498991,7.875030860304832e-06,0.3153105010278523
3,8,SIGN,0.0620408330578357,0.019458375172689557,0.20288787502795458,6.483308970928192e-05,13,2,0.006735916947945952,0.006238457979634404,0.0008809580467641354,0.0001270407810807228,2.0416919142007828e-05,0.047964459052309394,0.0620408330578357,0.0620320828165859,8.750241249799728e-06,0.28438708325847983
3,9,SIGN,0.08372691599652171,0.020501542137935758,0.17410333291627467,6.666709668934345e-05,13,2,0.006800625007599592,0.009113000007346272,0.0009261248633265495,6.466684862971306e-05,8.499948307871819e-06,0.0667412078473717,0.08372691599652171,0.08372079161927104,6.124377250671387e-06,0.27833179105073214
3,10,SIGN,0.09137600008398294,0.025506374891847372,0.17586399987339973,0.0001080839429050684,13,2,0.007021249970421195,0.008001874899491668,0.0019263331778347492,0.00013829092495143414,2.1540792658925056e-05,0.07415000000037253,0.09137600008398294,0.09136737370863557,8.62637534737587e-06,0.29274637484923005
3,11,SIGN,0.07517458405345678,0.015432375017553568,0.13530408404767513,0.00011229119263589382,13,2,0.010407499969005585,0.007734667044132948,0.0011700000613927841,9.866687469184399e-05,2.0208070054650307e-05,0.055624250089749694,0.07517458405345678,0.0751675833016634,7.000751793384552e-06,0.22591104311868548
3,12,SIGN,0.06848054099828005,0.02083624992519617,0.16659554187208414,0.00015012500807642937,13,2,0.006839707959443331,0.005398582899942994,0.0037407921627163887,6.695790216326714e-05,9.041978046298027e-06,0.052264582831412554,0.06848054099828005,0.06846979074180126,1.0750256478786469e-05,0.25591233279556036
