n,rep,seed,K,m_values,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_laplacian_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,hypergraph_degree_mean,hypergraph_degree_max,zhou_laplacian_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in_m2,p_out_m2,num_edges_m2,sampling_m2,p_in_m3,p_out_m3,num_edges_m3,sampling_m3,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
5000,2,5020325462,5,"2,3",22469,0.1182,0.7265468261241866,0.6748395986357686,1.3139741000001095,0.08060909999994692,0.08541170000000875,0.03134479999994255,0,9.8702,23.0,67502,0.017665299999976014,0.00010009999994053942,0.06764110000005985,1.4799897000000328,0.0048,0.0006,18056,sparse,1.44e-06,1.6e-07,4413,sparse,2.34375,1.6088610000000472,7.040699005126953,215.22265625,215.1484375,-0.07421875
5000,3,5020325463,5,"2,3",22715,0.114,0.735336376476284,0.6824973964109922,1.258110600000009,0.0731089000000793,0.08955869999999777,0.038663900000074136,0,9.9864,22.0,68354,0.01592270000003282,0.00010980000001836743,0.07352009999999609,1.4207721000001357,0.0048,0.0006,18213,sparse,1.44e-06,1.6e-07,4502,sparse,2.296875,1.561436399999934,7.119104385375977,215.1484375,214.80078125,-0.34765625
5000,4,5020325464,5,"2,3",22425,0.1156,0.7318579908587365,0.6798979780949589,1.1797964000001002,0.0736599000000524,0.09994679999999789,0.02992979999999079,0,9.8658,24.0,67676,0.015783899999973983,0.00012760000004163885,0.08402919999991809,1.3533970000000863,0.0048,0.0006,17946,sparse,1.44e-06,1.6e-07,4479,sparse,2.34375,1.4834968999999774,7.040838241577148,214.80078125,215.16015625,0.359375
5000,5,5020325465,5,"2,3",22288,0.1208,0.7205724230402863,0.6686921786680927,1.1841600000000199,0.07068420000007336,0.07591809999996713,0.038390099999901395,0,9.7938,23.0,67080,0.0173507999999174,0.00010589999999410793,0.05845580000004702,1.3307567000000518,0.0048,0.0006,17895,sparse,1.44e-06,1.6e-07,4393,sparse,2.203125,1.4655248000000256,6.9923095703125,215.16015625,215.046875,-0.11328125
5000,6,5020325466,5,"2,3",22393,0.1114,0.740909416703039,0.6886617628071133,1.1765867999999955,0.07388969999999517,0.09833690000004935,0.032635099999993145,0,9.8408,22.0,67392,0.015434900000059315,0.00011150000000270666,0.08278359999997065,1.3488065000000233,0.0048,0.0006,17975,sparse,1.44e-06,1.6e-07,4418,sparse,2.1875,1.488276400000018,7.025148391723633,215.046875,215.15625,0.109375
5000,7,5020325467,5,"2,3",22543,0.1314,0.6985201770178718,0.6472007711846355,1.2007681000000048,0.07148490000008678,0.07965230000002066,0.04054630000007364,0,9.9054,22.0,67766,0.015641899999991438,0.00010559999998349667,0.06389950000004774,1.3519000000001142,0.0048,0.0006,18102,sparse,1.44e-06,1.6e-07,4441,sparse,2.296875,1.5046563999999307,7.064192771911621,215.15625,215.37890625,0.22265625
5000,8,5020325468,5,"2,3",22389,0.119,0.7246248679735137,0.6725338546931354,1.1824812999999494,0.07130449999999655,0.08151620000001003,0.031221599999980754,0,9.8282,26.0,67148,0.01768430000004173,0.00014729999998053245,0.06367899999997917,1.3352963999999474,0.0048,0.0006,18026,sparse,1.44e-06,1.6e-07,4363,sparse,2.1875,1.4624997999999323,7.016849517822266,215.37890625,215.36328125,-0.015625
5000,9,5020325469,5,"2,3",22144,0.106,0.7524775783001375,0.700881086611933,1.172179300000039,0.07364540000003217,0.08105109999996785,0.029326999999966574,0,9.7184,23.0,66436,0.01648360000001503,0.00011109999991276709,0.06445059999998648,1.3268699999999853,0.0048,0.0006,17840,sparse,1.44e-06,1.6e-07,4304,sparse,2.15625,1.455890199999999,6.943915367126465,215.36328125,214.98828125,-0.375
5000,10,5020325470,5,"2,3",22064,0.111,0.7419268591954031,0.6898935645710929,1.178758299999913,0.07041320000007545,0.08200029999989056,0.033296099999915896,0,9.6888,24.0,66302,0.015231700000072124,0.00011810000000878063,0.06664460000001782,1.3311659000000873,0.0048,0.0006,17748,sparse,1.44e-06,1.6e-07,4316,sparse,2.25,1.4571429999999737,6.92067813873291,214.98828125,214.90234375,-0.0859375
5000,1,5020335468,6,"2,3",20107,0.2422,0.5032604173251551,0.4764294712686802,1.045149199999969,0.06699079999998503,0.1075621999999612,0.032904300000041076,0,8.8508,20.0,61314,0.02457630000003519,0.000133499999947162,0.08284639999999399,1.2196961999999303,0.0048,0.0006,16067,sparse,1.44e-06,1.6e-07,4040,sparse,2.21875,1.3379092999999784,6.406132698059082,214.9765625,214.6640625,-0.3125
