n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,0.1414213562373095,4,Random Sampling,9.027521184057564,0.32,0.022438187058234332,0.07542958299745806,0.0010361660097260028,0.01046674998360686,,,,,,,,,0.07542958299745806,0.07542508299229667,4.5000051613897085e-06,0.08693249899079092,0.0002894999925047159,0.0003852079971693456,0.002393625007243827,5.729199619963765e-05,0.005877832998521626,0.06642162500065751,,,
200,0.1414213562373095,4,Non-random,8.530850272304386,0.23,0.012048740378207162,0.041538082994520664,0.0010361660097260028,0.006981874990742654,,,,,,,,,0.041538082994520664,0.041536750009981915,1.3329845387488604e-06,0.04955612399498932,,,,,,,0.01239650000934489,0.029133250005543232,6.999995093792677e-06
200,0.1414213562373095,5,Random Projection,7.811555669947907,0.22,0.01015073435222344,0.0265883750107605,0.0011873330222442746,0.0015250830037984997,2.3083004634827375e-05,0.0003072909894399345,0.0001227080065291375,7.604199345223606e-05,7.208299939520657e-05,7.474998710677028e-05,5.417008651420474e-06,0.025903500005370006,0.0265883750107605,0.02658487399457954,3.501016180962324e-06,0.029300791036803275,,,,,,,,,
200,0.1414213562373095,5,Random Sampling,9.477907311837777,0.37,0.005572911209950543,0.030282583000371233,0.0011873330222442746,0.003583124984288588,,,,,,,,,0.030282583000371233,0.030280750012025237,1.8329883459955454e-06,0.035053041006904095,0.00041274999966844916,0.0002017499937210232,0.001025000005029142,1.8999999156221747e-05,3.0499999411404133e-05,0.028591750015038997,,,
200,0.1414213562373095,5,Non-random,8.738729855885229,0.22,0.006088791839001156,0.03139066699077375,0.0011873330222442746,0.0019033339922316372,,,,,,,,,0.03139066699077375,0.031389249983476475,1.4170072972774506e-06,0.034481334005249664,,,,,,,0.016877415997441858,0.014505083992844447,6.749993190169334e-06
200,0.1414213562373095,6,Random Projection,7.675993156587879,0.4,0.0181477818500545,0.02738633399712853,0.0009953750122804195,0.002679917000932619,2.2082997020334005e-05,0.00030074999085627496,9.024998871609569e-05,6.941598257981241e-05,6.933399708941579e-05,5.7124998420476913e-05,4.5000051613897085e-06,0.02677012499771081,0.02738633399712853,0.02738358295755461,2.7510395739227533e-06,0.03106162601034157,,,,,,,,,
200,0.1414213562373095,6,Random Sampling,9.227971501234297,0.46,0.012135342084308054,0.016934874991420656,0.0009953750122804195,0.0027620000182650983,,,,,,,,,0.016934874991420656,0.016929542034631595,5.332956789061427e-06,0.020692250021966174,0.0007737500127404928,0.00045370901352725923,0.003187084017554298,5.0790986279025674e-05,8.550001075491309e-05,0.012378707993775606,,,
200,0.1414213562373095,6,Non-random,8.69684382136839,0.23,0.015901507466042963,0.031538458017166704,0.0009953750122804195,0.0020028750004712492,,,,,,,,,0.031538458017166704,0.03153691699844785,1.5410187188535929e-06,0.03453670802991837,,,,,,,0.016233166999882087,0.015296875004423782,6.874994141981006e-06
200,0.1414213562373095,7,Random Projection,7.298399179550832,0.6799999999999999,0.02251260255550333,0.024756833008723333,0.001210041984450072,0.004583041009027511,2.2624997654929757e-05,0.00033549999352544546,0.00011487500160001218,7.604199345223606e-05,7.34579807613045e-05,7.091602310538292e-05,5.7089782785624266e-06,0.02405429200734943,0.024756833008723333,0.024753416975727305,3.4160329960286617e-06,0.030549916002200916,,,,,,,,,
200,0.1414213562373095,7,Random Sampling,10.173386792804777,0.8200000000000001,0.01323547846035264,0.049006624991307035,0.001210041984450072,0.007524416985688731,,,,,,,,,0.049006624991307035,0.04900183298741467,4.792003892362118e-06,0.05774108396144584,0.003311499982373789,0.0004298750136513263,0.0017011249728966504,4.412501584738493e-05,3.7582998629659414e-05,0.04347762500401586,,,
