alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
0.05,12,Random Projection,0.29267504200106487,0.017193582985782996,0.10574979198281653,6.0582999140024185e-05,0.006900084001244977,0.00147237500641495,0.003636999987065792,0.002140750002581626,0.00012604199582710862,2.0208011846989393e-05,0.2783120000094641,0.29267504200106487,0.29266904201358557,5.999987479299307e-06,0.4156184169696644,,,,,,,,,
0.05,12,Random Sampling,0.26382770799682476,0.017193582985782996,0.1812197079998441,,,,,,,,,0.26382770799682476,0.2638218749780208,5.833018803969026e-06,0.46224099898245186,0.00935212499462068,0.01479937499971129,0.0999977919855155,0.0011540419945959002,0.0016556660120841116,0.1368628749914933,,,
0.05,12,Non-random,0.3114222079748288,0.017193582985782996,0.16205949999857694,,,,,,,,,0.3114222079748288,0.3114194999798201,2.707995008677244e-06,0.4906752909591887,,,,,,,0.23037924998789094,0.07993754197377712,0.0011027080181520432
0.05,13,Random Projection,0.15520037501119077,0.022832791990367696,0.14260804100194946,7.170901517383754e-05,0.0050738749851007015,0.0004101250087842345,0.0005616249982267618,0.004020499996840954,5.616701673716307e-05,9.29197994992137e-06,0.14499333300045691,0.15520037501119077,0.1551966260012705,3.749009920284152e-06,0.3206412080035079,,,,,,,,,
0.05,13,Random Sampling,0.25941279099788517,0.022832791990367696,0.182453000015812,,,,,,,,,0.25941279099788517,0.2594056259840727,7.165013812482357e-06,0.46469858300406486,0.007869957975344732,0.012927125004353002,0.06524658398120664,0.003089750010985881,0.00350270900526084,0.1667695000069216,,,
0.05,13,Non-random,0.30181224999250844,0.022832791990367696,0.17886112499400042,,,,,,,,,0.30181224999250844,0.30180983297759667,2.4170149117708206e-06,0.5035061669768766,,,,,,,0.21242174998042174,0.08817579198512249,0.0012122910120524466
0.05,14,Random Projection,0.27573437499813735,0.022474041994428262,0.12377783400006592,6.37920165900141e-05,0.0032508329895790666,0.0001806250074878335,0.00048562500160187483,0.006239791982807219,7.612499757669866e-05,9.666982805356383e-06,0.2654246249876451,0.27573437499813735,0.27573108396609314,3.2910320442169905e-06,0.42198625099263154,,,,,,,,,
0.05,14,Random Sampling,0.1779851249884814,0.022474041994428262,0.134449917008169,,,,,,,,,0.1779851249884814,0.17797850002534688,6.624963134527206e-06,0.33490908399107866,0.00955812499159947,0.010965125024085864,0.05735750001622364,0.0010222499840892851,0.004301000008126721,0.0947745000012219,,,
0.05,14,Non-random,0.3054832079797052,0.022474041994428262,0.13923904098919593,,,,,,,,,0.3054832079797052,0.30548178995377384,1.4180259313434362e-06,0.4671962909633294,,,,,,,0.23769991597509943,0.06708854099269956,0.0006933329859748483
0.05,15,Random Projection,0.30367125000339,0.026057624985696748,0.1049271670053713,6.991700502112508e-05,0.009027916996274143,0.0007544999825768173,0.0005560829886235297,0.0012558339803945273,5.6374992709606886e-05,9.37501317821443e-06,0.2919370000017807,0.30367125000339,0.30366700096055865,4.249042831361294e-06,0.43465604199445806,,,,,,,,,
0.05,15,Random Sampling,0.20892158299102448,0.026057624985696748,0.1146927920053713,,,,,,,,,0.20892158299102448,0.20891558198491111,6.0010061133652925e-06,0.34967199998209253,0.010583208000753075,0.012195457995403558,0.05084545799763873,0.0012408749898895621,0.0013873749994672835,0.1326632080017589,,,
0.05,15,Non-random,0.538011374999769,0.026057624985696748,0.138160708011128,,,,,,,,,0.538011374999769,0.5380096670123748,1.7079873941838741e-06,0.7022297079965938,,,,,,,0.2702575419971254,0.26696187499328516,0.0007902500219643116
0.05,16,Random Projection,0.30389275000197813,0.024169375014025718,0.12919599999440834,6.491699605248868e-05,0.007246124994708225,0.0002020419924519956,0.0004476670001167804,0.0065452089766040444,0.0001179169921670109,2.0750012481585145e-05,0.28924441599519923,0.30389275000197813,0.30388904295978136,3.707042196765542e-06,0.4572581250104122,,,,,,,,,
0.05,16,Random Sampling,0.19851937500061467,0.024169375014025718,0.11740241598454304,,,,,,,,,0.19851937500061467,0.1985145419894252,4.8330111894756556e-06,0.34009116599918343,0.015020708000520244,0.01306883298093453,0.04850441700546071,0.0009917089773807675,0.0013513330195564777,0.11957754200557247,,,
0.05,16,Non-random,0.3193392079847399,0.024169375014025718,0.12134533299831674,,,,,,,,,0.3193392079847399,0.3193369999935385,2.207991201430559e-06,0.46485391599708237,,,,,,,0.22838237500400282,0.08981104198028333,0.0011435830092523247
0.05,17,Random Projection,0.18604387500090525,0.013708540995139629,0.14788683399092406,7.195898797363043e-05,0.003293707995908335,0.00018891700892709196,0.0004875419836025685,0.0036339999933261424,6.587500683963299e-05,9.207986295223236e-06,0.1782894159841817,0.18604387500090525,0.1860406249470543,3.2500538509339094e-06,0.34763924998696893,,,,,,,,,
