alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
0.1,20,Random Projection,0.039317750000009255,0.014694291000012072,0.16910708400001795,0.00018358400001261543,0.0032450420000031954,0.0017323329999783255,0.0008071660000155134,0.0009256669999899714,0.0002732080000100723,1.8707999998923697e-05,0.03212570899998468,0.039317750000009255,0.0393114169999933,6.3330000159567135e-06,0.22311912500003928,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,20,Random Sampling,0.08952187500000264,0.014694291000012072,0.20468329199999857,,,,,,,,,0.08952187500000264,0.08951549999994768,6.375000054958946e-06,0.3088994580000133,0.005213290999989795,0.009189375000005384,0.03754095899998333,0.0007507499999803713,0.002822624999993195,0.0339984999999956,,,,,,,,,,,,,,,,,,,,
0.1,20,Non-random,0.4525680419999958,0.014694291000012072,0.19095799999999485,,,,,,,,,0.4525680419999958,0.4525646649999828,3.377000012960707e-06,0.6582203330000027,,,,,,,0.4293163330000027,0.02288166599998931,0.00036666599999080063,,,,,,,,,,,,,,,,,
0.1,20,CountSketch,0.045027583000006643,0.014694291000012072,0.1716735840000183,,,,,,,,,0.045027583000006643,0.047338914999954795,0.0,0.23139545800003702,,,,,,,,,,7.987499998307612e-05,0.002347000000014532,0.002347000000014532,0.002615082999994911,0.0017273329999909492,0.0008805409999865788,0.0012597500000026685,0.00025733299997909853,3.704200000242963e-05,0.03578795799998602,,,,,,,
0.1,20,SIGN Bidirectional,0.056188707999979215,0.014694291000012072,0.17564949999999158,,,,,,,,,0.056188707999979215,0.05618070599996372,8.00200001549456e-06,0.24653249899998286,,,,,,,,,,,,,,,,,,,,0.00018362499997692794,0.009399290999994037,0.004598291000007748,0.0008547909999947478,0.00030424999999922875,2.104199998598233e-05,0.04081941600000505
0.15,1,Random Projection,0.03172191600000929,0.014766541000000188,0.17217800000000238,0.00018658299998719485,0.003559041999977808,0.0017037499999901229,0.0009740000000135751,0.0011005000000068321,0.00031079100000397375,1.9166999976505394e-05,0.023861624999995,0.03172191600000929,0.03171545799995101,6.458000058273683e-06,0.21866645700001186,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,1,Random Sampling,0.07879374999998845,0.014766541000000188,0.2071927910000113,,,,,,,,,0.07879374999998845,0.07878583399997297,7.916000015484315e-06,0.30075308199999995,0.005210249999976213,0.009241416999998364,0.0316490000000158,0.0007866669999998521,0.0028384579999851667,0.029060041999997566,,,,,,,,,,,,,,,,,,,,
0.15,1,Non-random,0.4635437910000064,0.014766541000000188,0.24137408400000027,,,,,,,,,0.4635437910000064,0.4635394579999854,4.333000021006228e-06,0.7196844160000069,,,,,,,0.4374709159999952,0.025600582999999233,0.00046795899999096946,,,,,,,,,,,,,,,,,
0.15,1,CountSketch,0.035203042000006235,0.014766541000000188,0.17583645800002046,,,,,,,,,0.035203042000006235,0.038006540999958816,0.0,0.22580604100002688,,,,,,,,,,7.904199998165495e-05,0.0028367080000180067,0.0028367080000180067,0.002964665999996896,0.001398875000006683,0.0013255419999893547,0.0012517079999838643,0.0001702079999859052,2.045899998392997e-05,0.025122624999994514,,,,,,,
0.15,1,SIGN Bidirectional,0.04206833300000312,0.014766541000000188,0.18122745799999507,,,,,,,,,0.04206833300000312,0.04205770699996947,1.0626000033653327e-05,0.23806233199999838,,,,,,,,,,,,,,,,,,,,0.00018762499999525062,0.010122999999992999,0.005232207999995353,0.0009786249999876873,0.00030787500000428736,2.066599998329366e-05,0.025207708000010598
