alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
0.05,15,Random Projection,9.720264699610574,1.5260416666666667,0.012581079220035,0.30367125000339,0.0260576249856967,0.1049271670053713,6.991700502112508e-05,0.0090279169962741,0.0007544999825768,0.0005560829886235,0.0012558339803945,5.6374992709606886e-05,9.37501317821443e-06,0.2919370000017807,0.30367125000339,0.3036670009605586,4.249042831361294e-06,0.434656041994458,,,,,,,,,,,,,,,,,,
0.05,15,Random Sampling,13.22701168648948,0.7916666666666667,0.0035808492447415,0.2089215829910244,0.0260576249856967,0.1146927920053713,,,,,,,,,0.2089215829910244,0.2089155819849111,6.0010061133652925e-06,0.3496719999820925,0.010583208000753,0.0121954579954035,0.0508454579976387,0.0012408749898895,0.0013873749994672,0.1326632080017589,,,,,,,,,,,,
0.05,15,Non-random,12.382296694509083,0.3177083333333333,0.0018193985000378,0.538011374999769,0.0260576249856967,0.138160708011128,,,,,,,,,0.538011374999769,0.5380096670123748,1.707987394183874e-06,0.7022297079965938,,,,,,,0.2702575419971254,0.2669618749932851,0.0007902500219643,,,,,,,,,
0.05,16,Random Projection,9.364706743196807,1.3359375,0.0123523688263197,0.3038927500019781,0.0241693750140257,0.1291959999944083,6.491699605248868e-05,0.0072461249947082,0.0002020419924519,0.0004476670001167,0.006545208976604,0.000117916992167,2.0750012481585145e-05,0.2892444159951992,0.3038927500019781,0.3038890429597813,3.707042196765542e-06,0.4572581250104122,,,,,,,,,,,,,,,,,,
0.05,16,Random Sampling,13.351410471846732,0.8385416666666667,0.0035326946569627,0.1985193750006146,0.0241693750140257,0.117402415984543,,,,,,,,,0.1985193750006146,0.1985145419894252,4.833011189475656e-06,0.3400911659991834,0.0150207080005202,0.0130688329809345,0.0485044170054607,0.0009917089773807,0.0013513330195564,0.1195775420055724,,,,,,,,,,,,
0.05,16,Non-random,12.364333330555732,0.4427083333333333,0.0020357385954361,0.3193392079847399,0.0241693750140257,0.1213453329983167,,,,,,,,,0.3193392079847399,0.3193369999935385,2.207991201430559e-06,0.4648539159970823,,,,,,,0.2283823750040028,0.0898110419802833,0.0011435830092523,,,,,,,,,
0.05,17,Random Projection,8.995555532654388,1.15625,0.0110265881151396,0.1860438750009052,0.0137085409951396,0.147886833990924,7.195898797363043e-05,0.0032937079959083,0.000188917008927,0.0004875419836025,0.0036339999933261,6.587500683963299e-05,9.207986295223236e-06,0.1782894159841817,0.1860438750009052,0.1860406249470543,3.2500538509339094e-06,0.3476392499869689,,,,,,,,,,,,,,,,,,
0.05,17,Random Sampling,13.132180381974647,0.7031249999999999,0.0048011932395797,0.3390750830003526,0.0137085409951396,0.1088471669936552,,,,,,,,,0.3390750830003526,0.3390684999758377,6.583024514839053e-06,0.4616307909891475,0.0060469169984571,0.0146153749956283,0.0403434580075554,0.002386165986536,0.0037097090098541,0.2719668749778066,,,,,,,,,,,,
0.05,17,Non-random,12.278029899498357,0.390625,0.0024431397928994,0.4049391250009648,0.0137085409951396,0.1537382499955129,,,,,,,,,0.4049391250009648,0.4049367920088116,2.3329921532422304e-06,0.5723859159916174,,,,,,,0.2323218749952502,0.1714600420091301,0.0011548750044312,,,,,,,,,
0.05,18,Random Projection,8.537207109431534,1.0911458333333337,0.0105837547352372,0.11892987502506,0.0146484999859239,0.1159899169870186,7.158299558795989e-05,0.0097842910035979,0.0008338330080732,0.0009388329926878,0.0050807500083465,5.76250022277236e-05,8.95900302566588e-06,0.1021499170165043,0.11892987502506,0.1189257910300511,4.083995008841157e-06,0.2495682919980026,,,,,,,,,,,,,,,,,,
