alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec
0.15,11,SIGN,18.121792813846206,0.3203125,0.027688992954745112,0.10401720809750259,0.01917095808312297,0.19050483289174736,7.3291826993227e-05,13,2,0.00745787494815886,0.008374083787202835,0.0032682078890502453,5.691708065569401e-05,8.665956556797028e-06,0.08477175002917647,0.10401720809750259,0.10401079151779413,6.416579708456993e-06,0.3136929990723729
0.15,12,SIGN,13.875712161478203,0.109375,0.01257486010019973,0.09354016603901982,0.0215295001398772,0.15993333305232227,0.00010875007137656212,13,2,0.00429229112342,0.005794458091259003,0.003371958155184984,8.587515912950039e-05,1.0249903425574303e-05,0.07986950012855232,0.09354016603901982,0.09353308263234794,7.083406671881676e-06,0.2750029992312193
0.15,13,SIGN,13.486464776899387,0.10677083333333334,0.011978674002702722,0.08974045794457197,0.019480458926409483,0.1650039169471711,7.175002247095108e-05,13,2,0.006541958078742027,0.0034949590917676687,0.004472457803785801,0.00010958290658891201,2.3833010345697403e-05,0.07501962501555681,0.08974045794457197,0.08973416592925787,6.292015314102173e-06,0.27422483381815255
0.15,14,SIGN,14.152554942002357,0.0703125,0.007295441539707209,0.09170708293095231,0.02557404083199799,0.19142525014467537,8.60411673784256e-05,13,2,0.012678583152592182,0.008137834025546908,0.0014326251111924648,0.00013441708870232105,2.6124995201826096e-05,0.06919979210942984,0.09170708293095231,0.09169541765004396,1.1665280908346176e-05,0.3087063739076257
0.15,15,SIGN,13.506362899201731,0.1015625,0.008729094837725021,0.08723637508228421,0.019114415859803557,0.16831258404999971,8.141715079545975e-05,13,2,0.007758959196507931,0.007485207868739963,0.0010545409750193357,6.741704419255257e-05,9.624985978007317e-06,0.07077066716738045,0.08723637508228421,0.0872278343886137,8.540693670511246e-06,0.2746633749920875
0.15,16,SIGN,16.576296951026364,0.2994791666666667,0.025789015039015234,0.10634287493303418,0.021970875095576048,0.195613875053823,6.825011223554611e-05,13,2,0.011652792105451226,0.005504082888364792,0.0006018329877406359,6.812508217990398e-05,9.54093411564827e-06,0.08843174995854497,0.10634287493303418,0.10633637406863272,6.500864401459694e-06,0.3239276250824332
0.15,17,SIGN,14.333348839304733,0.18489583333333331,0.021420547498755382,0.0860702081117779,0.021708207903429866,0.10660845902748406,0.00011087511666119099,13,2,0.007072667125612497,0.005983707960695028,0.0009161250200122595,6.945780478417873e-05,8.874805644154549e-06,0.07190091698430479,0.0860702081117779,0.0860626248177141,7.583294063806534e-06,0.21438687504269183
0.15,18,SIGN,14.128326832640893,0.16666666666666669,0.016126510655450704,0.08077412517741323,0.01979279099032283,0.16891100001521409,7.220893166959286e-05,13,2,0.004943290958181024,0.006582000060006976,0.002324500121176243,0.00010229204781353474,2.0249979570508003e-05,0.06672316696494818,0.08077412517741323,0.08076770906336606,6.416114047169685e-06,0.26947791618295014
0.15,19,SIGN,13.422989510021438,0.09635416666666667,0.009704488984975307,0.09144799993373454,0.02329920814372599,0.17717345897108316,7.154187187552452e-05,13,2,0.007905042031779885,0.011759124929085374,0.001961749978363514,0.00010479218326508999,2.091703936457634e-05,0.06961541692726314,0.09144799993373454,0.0914385849609971,9.414972737431526e-06,0.2919206670485437
0.15,20,SIGN,14.402313621400516,0.04427083333333333,0.007402534466279337,0.07097424985840917,0.019620999926701188,0.1565363749396056,6.533297710120678e-05,13,2,0.007457333151251078,0.004193250089883804,0.0009694159962236881,7.324991747736931e-05,1.0041054338216782e-05,0.05819904198870063,0.07097424985840917,0.07096766517497599,6.584683433175087e-06,0.24713162472471595
