n,K,rho_n,rep,seed,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,zhou_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
5000,5,8.0,7,25260449,3,35258,0.167,0.6259339362889238,0.5768352048492287,1.2444141249870881,0.07428512501064688,0.15643075003754348,0.01890412508510053,0,0.0,21.1548,39.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,215430,0.015150708029977977,8.679099846631289e-05,0.14118954096920788,1.4751262899953872,1.152e-05,1.28e-06,sparse,3.8851789999999937,1.6245517920469865,18.238773345947266,348.375,283.640625,-64.734375
5000,5,8.0,8,25260450,3,34860,0.1546,0.6507184710891202,0.6005810496459396,1.228489249944687,0.07486112497281283,0.14362833299674094,0.017933584051206708,0,0.0,20.916,39.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,213046,0.014291040948592126,0.0004207079764455557,0.12891166703775525,1.4469737908802927,1.152e-05,1.28e-06,sparse,3.841228000000001,1.6074102079728618,18.044608116149902,283.640625,286.34375,2.703125
5000,5,8.0,9,25260451,3,35105,0.1512,0.6573322425616117,0.6083860153389092,1.2860296251019463,0.07280241698026657,0.31160929205361754,0.028154499945230782,0,0.0,21.063,39.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,214540,0.013689083978533745,9.68750100582838e-05,0.2978195420000702,1.670437543070875,1.152e-05,1.28e-06,sparse,3.8131229999999903,1.8632038340438157,18.17113494873047,286.34375,269.34375,-17.0
5000,5,8.0,10,25260452,3,34732,0.1578,0.6444560430375356,0.5965260207055416,1.2924121249234304,0.07644345797598362,0.14515574998222291,0.01854333293158561,0,0.0,20.8392,41.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,212414,0.01433062506839633,7.924996316432953e-05,0.13073979096952826,1.514005248900503,1.152e-05,1.28e-06,sparse,3.9773420000000215,1.671214875066653,17.992048263549805,269.34375,280.09375,10.75
5000,6,8.0,1,26260446,3,32788,0.503,0.16142954185341193,0.17191939325066136,1.0893215839751065,0.06995325000025332,0.45198999997228384,0.015320166945457458,0,0.0,19.6728,39.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,200842,0.03307962499093264,9.174994193017483e-05,0.41881466703489423,1.6112608759431168,1.152e-05,1.28e-06,sparse,5.564883999999978,1.7245869579492137,17.06252956390381,280.09375,286.53125,6.4375
5000,6,8.0,2,26260447,3,32354,0.5546,0.15300119465709067,0.16649277504333884,1.18467149999924,0.08013158303219825,0.5249343330506235,0.015808583004400134,0,0.0,19.4124,39.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,198342,0.03598208294715732,0.00010249996557831764,0.4888449589489028,1.7897326248930767,1.152e-05,1.28e-06,sparse,6.453178000000008,1.9121960420161486,16.851821899414062,286.53125,287.109375,0.578125
5000,6,8.0,3,26260448,3,32690,0.4912,0.17240946569248963,0.1812582877296962,1.1062317920150235,0.07189345802180469,0.45708212500903755,0.015401541953906417,0,0.0,19.614,40.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,200204,0.030996999936178327,9.654206223785877e-05,0.4259849590016529,1.6352037510368973,1.152e-05,1.28e-06,sparse,5.866555000000005,1.7505159579450265,17.0081844329834,287.109375,290.265625,3.15625
5000,6,8.0,4,26260449,3,32877,0.4714,0.19786568537624366,0.2043334529568798,1.1771655410993844,0.069169707945548,0.47623591707088053,0.01588470907881856,0,0.0,19.7262,38.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,201368,0.03460224997252226,8.379097562283278e-05,0.4415456249844283,1.7225669149775058,1.152e-05,1.28e-06,sparse,6.253146000000015,1.8385034590028226,17.10698699951172,290.265625,292.53125,2.265625
5000,6,8.0,5,26260450,3,32507,0.5132,0.14956310310225213,0.15761004934301087,1.1894087080145255,0.07106491597369313,0.4789122499059886,0.015520958928391337,0,0.0,19.5042,36.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,199196,0.036436584079638124,9.779201354831457e-05,0.44237258308567107,1.739380583167076,1.152e-05,1.28e-06,sparse,6.205785999999989,1.8537069999147207,16.922569274902344,292.53125,293.3125,0.78125
5000,6,8.0,6,26260451,3,32594,0.4832,0.18075307664970697,0.18726593434046215,1.135532750049606,0.07021229190286249,0.5238955829991028,0.015280542080290616,0,0.0,19.5564,39.0,32555.284142080003,6.511056828416001,19.533170485248004,0.027694498899779957,199678,0.031928124953992665,8.129200432449579e-05,0.491882583941333,1.7296370428521186,1.152e-05,1.28e-06,sparse,6.468151000000006,1.8446647500386462,16.964241981506348,293.3125,293.390625,0.078125
