n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,4,Random Sampling,0.026045799953863025,0.0006012998055666685,0.0019054000731557608,,,,,,,,,0.026045799953863025,0.026042299810796976,3.500143066048622e-06,0.028552499832585454,0.0002183998003602028,0.00031020003370940685,0.0029947999864816666,3.8400059565901756e-05,6.929994560778141e-05,0.022411199985072017,,,
200,4,Non-random,0.02584800007753074,0.0006012998055666685,0.002131700050085783,,,,,,,,,0.02584800007753074,0.025845600059255958,2.400018274784088e-06,0.028580999933183193,,,,,,,0.004494300112128258,0.02132329996675253,2.7999980375170708e-05
200,5,Random Projection,0.052005100063979626,0.0007118999492377043,0.005059899995103478,2.5399960577487946e-05,0.00018909992650151253,6.989995017647743e-05,4.819990135729313e-05,4.0899962186813354e-05,5.3799943998456e-05,4.800036549568176e-06,0.05156959989108145,0.052005100063979626,0.05200169957242906,3.400491550564766e-06,0.05777690000832081,,,,,,,,,
200,5,Random Sampling,0.026756600011140108,0.0007118999492377043,0.0016188998706638813,,,,,,,,,0.026756600011140108,0.026753100100904703,3.4999102354049683e-06,0.029087399831041694,0.00022209994494915009,0.0002808000426739454,0.0022418999578803778,3.6800047382712364e-05,6.29001297056675e-05,0.02390859997831285,,,
200,5,Non-random,0.02504039998166263,0.0007118999492377043,0.002181699965149164,,,,,,,,,0.02504039998166263,0.02503879996947944,1.600012183189392e-06,0.0279339998960495,,,,,,,0.00407030014321208,0.02094539999961853,2.3099826648831367e-05
200,6,Random Projection,0.02139310003258288,0.0007228001486510038,0.0015943001490086317,2.7999980375170708e-05,0.00022860011085867882,7.700012065470219e-05,4.610000178217888e-05,3.650016151368618e-05,5.6999968364834785e-05,4.999805241823196e-06,0.02091160020790994,0.02139310003258288,0.021389800356701016,3.2996758818626404e-06,0.023710200330242515,,,,,,,,,
200,6,Random Sampling,0.022808500099927187,0.0007228001486510038,0.0016017998568713665,,,,,,,,,0.022808500099927187,0.022805699845775962,2.80025415122509e-06,0.025133100105449557,0.00018119998276233673,0.0002584999892860651,0.002600400010123849,3.66999302059412e-05,5.6499848142266273e-05,0.019672400085255504,,,
200,6,Non-random,0.024643899872899055,0.0007228001486510038,0.0021784999407827854,,,,,,,,,0.024643899872899055,0.02464210009202361,1.7997808754444122e-06,0.027545199962332845,,,,,,,0.004617600003257394,0.020002499921247363,2.200016751885414e-05
200,7,Random Projection,0.022378799971193075,0.0005488998722285032,0.0018706999253481627,2.3399945348501205e-05,0.00018330011516809464,7.049995474517345e-05,5.140015855431557e-05,4.329998046159744e-05,5.910010077059269e-05,4.899920895695686e-06,0.021940199891105294,0.022378799971193075,0.022376100067049265,2.6999041438102722e-06,0.02479839976876974,,,,,,,,,
200,7,Random Sampling,0.024426800198853016,0.0005488998722285032,0.0016157999634742737,,,,,,,,,0.024426800198853016,0.024423400405794382,3.3997930586338043e-06,0.026591500034555793,0.00022320006974041462,0.00032160012051463127,0.0029120000544935465,4.20999713242054e-05,8.240016177296638e-05,0.020842100027948618,,,
200,7,Non-random,0.025895100086927414,0.0005488998722285032,0.0020051999017596245,,,,,,,,,0.025895100086927414,0.025893299840390682,1.80024653673172e-06,0.02844919986091554,,,,,,,0.004280599998310208,0.021575099788606167,3.760005347430706e-05
200,8,Random Projection,0.021876899991184473,0.0005963000003248453,0.0015718999784439802,2.66998540610075e-05,0.0002375999465584755,7.730000652372837e-05,6.019999273121357e-05,4.509999416768551e-05,6.340001709759235e-05,6.09993003308773e-06,0.02135760011151433,0.021876899991184473,0.02187399985268712,2.9001384973526e-06,0.0240450999699533,,,,,,,,,
