method,rep,r,ell,k,q,embedding_wall_sec,clustering_wall_sec,total_method_wall_sec,ARI_true,NMI_true,F1_macro_true,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,eigen_decomposition_wall_sec,dataset,alpha,tau_label,tau_value,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
Gaussian RP,5,10,28,18,1,0.015226699993945658,0.3672038000077009,0.3824305000016466,0.13419054721765425,0.2696787580322859,0.29433219464458804,0.0020871000015176833,0.004401600002893247,0.005779200000688434,0.0018195000011473894,0.00028020000900141895,0.00036639999598264694,0.014734000011230819,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,5,10,28,18,1,0.020462100001168437,0.3693401000055019,0.3898022000066703,0.13359242456578688,0.2870192696185767,0.325462664936361,,,,,,,0.020107999982428737,lastfm-asia,0.5,mean,7.2943336831059815,0.0004714999959105626,0.003999399996246211,0.008212300002924167,0.0055041000014171,0.0014232999965315685,0.00024249999842140824,0.0002548999909777194,8.0,2.0,5.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=4;[8,16):n=1265,ell=5;[16,32):n=576,ell=5;[32,64):n=212,ell=4;[64,128):n=46,ell=3;[128,256):n=6,ell=2"
Gaussian RP,6,10,28,18,1,0.012919800006784499,0.35913200001232326,0.37205180001910776,0.13578919444040957,0.2682083586341543,0.3108488312389478,0.002020600004470907,0.003423399990424514,0.0053404999925987795,0.0011968000035267323,0.0002680000034160912,0.00027740000223275274,0.012526699996669777,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,6,10,28,18,1,0.020180500010610558,0.34039490000577644,0.360575400016387,0.13749431116703073,0.2872519600129179,0.2963334184982524,,,,,,,0.019789499987382442,lastfm-asia,0.5,mean,7.2943336831059815,0.00034220000088680536,0.004175699999905191,0.008149100001901388,0.004622899999958463,0.0019459999894024804,0.00026169999910052866,0.0002918999962275848,8.0,2.0,5.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=4;[8,16):n=1265,ell=5;[16,32):n=576,ell=5;[32,64):n=212,ell=4;[64,128):n=46,ell=3;[128,256):n=6,ell=2"
Gaussian RP,7,10,28,18,1,0.035454199998639524,0.3250462999858428,0.3605004999844823,0.16098492817063872,0.2903104445460149,0.3388824837326209,0.0020644000032916665,0.0043227999994996935,0.005760399988503195,0.012257599999429658,0.009354900001198985,0.0009980000031646341,0.03475809999508783,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,7,10,28,18,1,0.017680599994491786,0.3508927000075346,0.36857330000202637,0.13703890938950325,0.2917828121753438,0.3091546895777071,,,,,,,0.017269699994358234,lastfm-asia,0.5,mean,7.2943336831059815,0.00033629999961704016,0.00323729999945499,0.006926599991857074,0.0049270000017713755,0.001225600004545413,0.00024199999461416155,0.0003749000024981797,8.0,2.0,5.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=4;[8,16):n=1265,ell=5;[16,32):n=576,ell=5;[32,64):n=212,ell=4;[64,128):n=46,ell=3;[128,256):n=6,ell=2"
Gaussian RP,8,10,28,18,1,0.014591200000722893,0.3529809000028763,0.3675721000035992,0.1713961426809754,0.30580089706672636,0.36545058468716474,0.0018485999898985028,0.004615099998773076,0.0056388999946648255,0.0016002000047592446,0.00025570001162122935,0.0002783000090857968,0.014236800008802675,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,8,10,28,18,1,0.02002389999688603,0.3778695999935735,0.39789349999045953,0.1254748926560961,0.2626131110456657,0.2897553143556312,,,,,,,0.01954150000528898,lastfm-asia,0.5,mean,7.2943336831059815,0.00047160001122392714,0.0039025999867590144,0.0069635000108974054,0.005380300004617311,0.0018771000031847507,0.00047899999481160194,0.0004673999937949702,8.0,2.0,5.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=4;[8,16):n=1265,ell=5;[16,32):n=576,ell=5;[32,64):n=212,ell=4;[64,128):n=46,ell=3;[128,256):n=6,ell=2"
Gaussian RP,9,10,28,18,1,0.014579099995899014,0.3530058000033023,0.3675848999992013,0.15646268509180572,0.2940188063597799,0.3369610432952013,0.0020672000100603327,0.004245900010573678,0.004930900002364069,0.00217720000364352,0.00031069999386090785,0.00028310000197961926,0.014015000022482127,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,9,10,28,18,1,0.02186900000378955,0.36254979998921044,0.384418799993,0.13156714376056172,0.2762006246070031,0.3175296094380079,,,,,,,0.021395300020230934,lastfm-asia,0.5,mean,7.2943336831059815,0.0004726000042865053,0.004590900003677234,0.00845100000151433,0.005404600000474602,0.0019164999976055697,0.00028279999969527125,0.0002769000129774213,8.0,2.0,5.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=4;[8,16):n=1265,ell=5;[16,32):n=576,ell=5;[32,64):n=212,ell=4;[64,128):n=46,ell=3;[128,256):n=6,ell=2"
