model,n,rep,method,error_P,error_Theta,error_B,time_sec
1,800,20,Random Projection,11.3958719312172,0.0,0.004966133195932199,0.021262042000000037
1,800,20,Random Sampling,13.184328074388052,0.0,0.010477193780961347,0.045438874999998546
1,800,20,Non-random,18.101885516211674,0.0,0.004878890211283127,0.2768354170000009
1,1000,1,Random Projection,12.638874245010678,0.0,0.003291566595412465,0.026590041999998704
1,1000,1,Random Sampling,15.961480917898266,0.0,0.0037725723033291136,0.055474000000000245
1,1000,1,Non-random,20.78924529756035,0.0,0.0030152672178160866,0.35017304200000154
1,1000,2,Random Projection,10.108433809618157,0.0,0.0051795480073123235,0.025338624999999837
1,1000,2,Random Sampling,13.193486793897199,0.0,0.00713683168161286,0.06323841700000088
1,1000,2,Non-random,18.589725279842078,0.0,0.005068034061744747,0.3683250829999949
1,1000,3,Random Projection,10.922393962355708,0.0,0.0018647288645595728,0.027176624999995624
1,1000,3,Random Sampling,14.098915500287008,0.0,0.0019088578954232494,0.060587999999995645
1,1000,3,Non-random,19.10180601090621,0.0,0.001822358454616979,0.37789733299999995
1,1000,4,Random Projection,10.983395300244648,0.0,0.002617364472335848,0.030862999999996532
1,1000,4,Random Sampling,13.86730959729999,0.0,0.0036128968618903967,0.06282337500000068
1,1000,4,Non-random,19.37851800372379,0.0,0.0024591182943469736,0.37009683299999807
1,1000,5,Random Projection,12.803980360487719,0.0,0.0012603137655956553,0.026737375000003283
1,1000,5,Random Sampling,14.027182648666255,0.0,0.0004910986707854781,0.053711542000002055
1,1000,5,Non-random,18.85013763651525,0.0,0.0013673854511419559,0.36454450000000094
1,1000,6,Random Projection,11.690165424192502,0.0,0.0033570666215747558,0.02621274999999912
1,1000,6,Random Sampling,14.757030644577794,0.0,0.0009992947862163815,0.08223641699999718
1,1000,6,Non-random,20.840106042651563,0.0,0.0032449398532086726,0.3416709160000053
1,1000,7,Random Projection,12.822312057327508,0.0,0.00343499889492771,0.023730374999999526
1,1000,7,Random Sampling,16.20764981450155,0.0,0.0038159322018286035,0.0581460000000007
1,1000,7,Non-random,21.464253430034457,0.0,0.0034965583269375156,0.3421204579999966
1,1000,8,Random Projection,11.058005183359771,0.0,0.001230416817871366,0.025310292000000345
1,1000,8,Random Sampling,14.365461800515156,0.0,0.0025473314107635203,0.05902120900000085
1,1000,8,Non-random,19.510580982760573,0.0,0.001128550373743431,0.3776040420000015
1,1000,9,Random Projection,12.749791029243998,0.0,0.003110250257985836,0.029225166999999885
1,1000,9,Random Sampling,15.83427059444956,0.0,0.0029395114934869793,0.059817584000001034
1,1000,9,Non-random,21.53182743381305,0.0,0.003184688461580043,0.34276766699999683
1,1000,10,Random Projection,11.270010622395217,0.0,0.0014844592914736165,0.025755250000003116
1,1000,10,Random Sampling,13.768626896945635,0.0,0.0015667574968107334,0.062076375000003736
1,1000,10,Non-random,18.361087450906528,0.0,0.0015052384640862337,0.3695659580000026
1,1000,11,Random Projection,11.970653556817323,0.0,0.0038604030957176128,0.030649833000005344
1,1000,11,Random Sampling,14.992595686741817,0.0,0.004274294413462276,0.05668204199999849
1,1000,11,Non-random,19.856131768126392,0.0,0.0037868006605162874,0.3434067079999963
1,1000,12,Random Projection,11.367377722927483,0.0,0.002057885201355525,0.04660212499999972
1,1000,12,Random Sampling,14.822206098371206,0.0,0.002337274169326331,0.0585137919999994
1,1000,12,Non-random,19.83000541116804,0.0,0.0021383712466642446,0.3551936250000054
1,1000,13,Random Projection,10.707187059247342,0.0,0.0029008321268835235,0.02438829100000106
1,1000,13,Random Sampling,13.544225092205888,0.0,0.0023359477398106065,0.05159637500000258
1,1000,13,Non-random,19.58061816239109,0.0,0.002818488963142185,0.37411191700000046
1,1000,14,Random Projection,11.04971206239709,0.0,0.001985938568748319,0.024870708999998214
1,1000,14,Random Sampling,14.188883437610196,0.0,0.0020888711608396116,0.05308737499999694
1,1000,14,Non-random,19.382050425122618,0.0,0.0018600236682245475,0.34379858300000166
1,1000,15,Random Projection,12.034262094412345,0.0,0.0014923669723093114,0.028349041999994995
1,1000,15,Random Sampling,15.610405257099496,0.0,0.0038194561553848705,0.05796708400000483
1,1000,15,Non-random,20.134243775869997,0.0,0.0015919822537167616,0.34999466700000426
