model,n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
2,1200,6,Random Sampling,0.06935374999997634,0.018020375000020294,0.22550583399998914,,,,,,,,,0.06935374999997634,0.06934487699999181,8.872999984532726e-06,0.3128799589999858,0.005680584000003819,0.009457249999996975,0.02562337500000922,0.0007640000000037617,0.002451084000000492,0.025368583999977545,,,,,,,,,,,,,,,,,,,,
2,1200,6,Non-random,0.47494675000001507,0.018020375000020294,0.2535779160000118,,,,,,,,,0.47494675000001507,0.4749427919999789,3.958000036163867e-06,0.7465450410000471,,,,,,,0.45226737499999103,0.02227800000000002,0.00039741699998785407,,,,,,,,,,,,,,,,,
2,1200,6,CountSketch,0.05231729099998006,0.018020375000020294,0.20283183300000474,,,,,,,,,0.05231729099998006,0.05482933100012133,0.0,0.2731694990000051,,,,,,,,,,9.487500000204818e-05,0.0025574580000125025,0.0025574580000125025,0.0031932920000201648,0.00185866600000395,0.0011699160000091524,0.0015001250000068467,0.002228708000018287,5.495800002108808e-05,0.03961387500001479,,,,,,,
2,1200,6,SIGN Bidirectional,0.035014875000001666,0.018020375000020294,0.20214816700001847,,,,,,,,,0.035014875000001666,0.03500470699995617,1.0168000045496228e-05,0.25518341700004044,,,,,,,,,,,,,,,,,,,,0.0001981670000077429,0.009630165999993778,0.004480916000005664,0.0008026669999878777,0.00012562499998125531,2.1124999989297066e-05,0.019746040999990555
2,1200,7,Random Projection,0.02756520799999862,0.01831920900002615,0.196514250000007,0.00020670800000743839,0.0038836249999860684,0.0016604170000107388,0.0011067499999910524,0.0010685839999950986,0.0002473330000043461,2.433299999893279e-05,0.01935670899999309,0.02756520799999862,0.027554458999986764,1.074900001185597e-05,0.24239866700003176,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1200,7,Random Sampling,0.06746316699999966,0.01831920900002615,0.2334449589999963,,,,,,,,,0.06746316699999966,0.06745345799996016,9.709000039492821e-06,0.3192273350000221,0.005663540999989891,0.009396832999982507,0.025415709000014886,0.0007167919999915284,0.002502375000005941,0.02375820799997541,,,,,,,,,,,,,,,,,,,,
2,1200,7,Non-random,0.48105124999997884,0.01831920900002615,0.24222745899999154,,,,,,,,,0.48105124999997884,0.481046584999973,4.665000005843467e-06,0.7415979179999965,,,,,,,0.4602515419999804,0.020399959000002355,0.00039508399999022004,,,,,,,,,,,,,,,,,
2,1200,7,CountSketch,0.029705250000006345,0.01831920900002615,0.24830229099998746,,,,,,,,,0.029705250000006345,0.032214667999966196,0.0,0.29632675000001996,,,,,,,,,,0.00012795800000731106,0.0025599999999883494,0.0025599999999883494,0.0030099579999784964,0.001728958999990482,0.0009325000000046657,0.0009384170000146241,0.00012787500000399632,2.0541999987244708e-05,0.020208459000002676,,,,,,,
2,1200,7,SIGN Bidirectional,0.037107584000011684,0.01831920900002615,0.18714895799999454,,,,,,,,,0.037107584000011684,0.03709691500003487,1.066899997681503e-05,0.24257575100003237,,,,,,,,,,,,,,,,,,,,0.00019600000001673834,0.01019141700001569,0.005116541000006691,0.0008404579999989892,0.0001765410000018619,2.18749999874035e-05,0.020554083000007495
2,1200,8,Random Projection,0.025109999999983756,0.017585582999998906,0.19581929200001014,0.00019695800000363306,0.0035168750000025284,0.0015887499999962529,0.0008799169999917922,0.0009753749999958927,0.00019712499999968713,2.045800002292708e-05,0.017726874999993925,0.025109999999983756,0.025102333000006638,7.666999977118394e-06,0.2385148749999928,,,,,,,,,,,,,,,,,,,,,,,,,,
