rep,step,method,sec,note
11,method_total,Non-random,0.7787725829984993,
11,pairwise_ari,,0.0326335419958923,
12,eigendecomp,Random Projection,0.24497145801433362,
12,rp_test_matrix,Random Projection,0.016356959007680416,
12,rp_power_matmul_1,Random Projection,0.0258577500062529,
12,rp_power_matmul_2,Random Projection,0.024476082995533943,
12,rp_power_matmul_3,Random Projection,0.027895084000192583,
12,rp_power_matmul_4,Random Projection,0.02564170799450949,
12,rp_power_matmul_5,Random Projection,0.023746582999592647,
12,rp_power_matmul_total,Random Projection,0.12761720799608156,
12,rp_qr,Random Projection,0.07080137499724515,
12,rp_A_times_Q,Random Projection,0.023535540996817872,
12,rp_Qt_times_AQ,Random Projection,0.0014712089905515313,
12,rp_symmetrize_small,Random Projection,1.4999997802078724e-05,
12,rp_small_eigh,Random Projection,6.037499406374991e-05,
12,rp_sort_eigpairs,Random Projection,1.762501779012382e-05,
12,rp_back_projection,Random Projection,0.0036985000187996775,
12,rp_eigendecomp_total,Random Projection,0.24357379201683216,
12,kmeans,Random Projection,0.36282895799377,
12,method_total,Random Projection,0.6078004160081036,
12,sampling,Random Sampling,0.0639702079934068,
12,rs_sampling_mask,Random Sampling,0.003912083018803969,
12,rs_sampling_select_edges,Random Sampling,0.00608349998947233,
12,rs_sampling_weights,Random Sampling,0.0002146660117432475,
12,rs_sampling_stack_symmetry,Random Sampling,0.0018303749966435134,
12,rs_sampling_build_sparse,Random Sampling,0.018412833014735952,
12,rs_sampling_finalize_sparse,Random Sampling,0.031818209012271836,
12,rs_sampling_total,Random Sampling,0.06227166604367085,
12,eigendecomp,Random Sampling,0.14049820898799226,
12,rs_eig_eigsh_solver,Random Sampling,0.1399039999814704,
12,rs_eig_sort_eigpairs,Random Sampling,0.0005229169910307974,
12,rs_eig_eigendecomp_total,Random Sampling,0.1404269169725012,
12,kmeans,Random Sampling,0.680903375003254,
12,method_total,Random Sampling,0.8853717919846531,
12,eigendecomp,Non-random,0.16400583399808966,
12,nr_eig_eigsh_solver,Non-random,0.16225708299316466,
12,nr_eig_sort_eigpairs,Non-random,0.0010175839997828007,
12,nr_eig_eigendecomp_total,Non-random,0.16327466699294746,
12,kmeans,Non-random,0.6186803329910617,
12,method_total,Non-random,0.7826861669891514,
12,pairwise_ari,,0.06941612498485483,
13,eigendecomp,Random Projection,0.27272087498568,
13,rp_test_matrix,Random Projection,0.01624779202393256,
13,rp_power_matmul_1,Random Projection,0.022070709004765376,
13,rp_power_matmul_2,Random Projection,0.02580787500482984,
13,rp_power_matmul_3,Random Projection,0.025299166998593137,
13,rp_power_matmul_4,Random Projection,0.02793237500009127,
13,rp_power_matmul_5,Random Projection,0.027851125021697953,
13,rp_power_matmul_total,Random Projection,0.12896125102997757,
13,rp_qr,Random Projection,0.08717595899361186,
13,rp_A_times_Q,Random Projection,0.030927208019420505,
13,rp_Qt_times_AQ,Random Projection,0.0024270829744637012,
13,rp_symmetrize_small,Random Projection,2.066700835712254e-05,
13,rp_small_eigh,Random Projection,6.233298336155713e-05,
13,rp_sort_eigpairs,Random Projection,1.6083999071270227e-05,
13,rp_back_projection,Random Projection,0.004012833989690989,
13,rp_eigendecomp_total,Random Projection,0.26985121102188714,
13,kmeans,Random Projection,0.4283998330065515,
13,method_total,Random Projection,0.7011207079922315,
13,sampling,Random Sampling,0.06620466598542407,
13,rs_sampling_mask,Random Sampling,0.003990040975622833,
13,rs_sampling_select_edges,Random Sampling,0.006343417015159503,
13,rs_sampling_weights,Random Sampling,0.0002342910156585276,
