n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
200,17,Random Sampling,11.544024367665411,1.5124378109452736,0.0492497499354806,0.0303319170197937,0.00137129201903,0.019580375024816,,,,,,,,,0.0303319170197937,0.0303276659979019,4.251021891832352e-06,0.0512835840636398,0.0008027080039028,0.0004612909979186,0.0031237920047715,5.524998414330185e-05,9.024998871609569e-05,0.0257943750184495,,,,,,,,,,,,
200,17,Non-random,9.449067512281166,0.5716870194482135,0.0159763313609467,0.200860749988351,0.00137129201903,0.0162049579957965,,,,,,,,,0.200860749988351,0.2008589999750256,1.7500133253633976e-06,0.2184370000031776,,,,,,,0.1710482079943176,0.0298035419837106,7.2499969974160194e-06,,,,,,,,,
200,18,Random Projection,7.938498836437183,0.8102668475802803,0.033457562862596,0.057084041996859,0.0085227079980541,0.003228957997635,2.216699067503214e-05,0.0003737910010386,0.0001113330072257,8.583400631323457e-05,7.583401747979224e-05,6.441702134907246e-05,5.415990017354488e-06,0.0563418329984415,0.057084041996859,0.0570806250325404,3.416964318603277e-06,0.0688357079925481,,,,,,,,,,,,,,,,,,
200,18,Random Sampling,10.311662605114035,0.705789235639982,0.0140037616097462,0.0443770409910939,0.0085227079980541,0.0194309169892221,,,,,,,,,0.0443770409910939,0.0443719179893378,5.12300175614655e-06,0.0723306659783702,0.000288500013994,0.0004557500069495,0.0038425840029958,5.762497312389314e-05,0.0001040000061038,0.0396234589861705,,,,,,,,,,,,
200,18,Non-random,9.380489952228327,0.3450927182270465,0.0139644970414201,0.3266627500124741,0.0085227079980541,0.0155525410082191,,,,,,,,,0.3266627500124741,0.3266601249924861,2.6250199880450964e-06,0.3507379990187473,,,,,,,0.084661083004903,0.241973041993333,2.5999994250014424e-05,,,,,,,,,
200,19,Random Projection,8.242868242498329,0.7042062415196744,0.0125070095330282,0.0831402089970652,0.0011740409827325,0.006687957997201,2.908299211412668e-05,0.0003942089970223,0.0001902079966384,9.004198363982141e-05,0.0001002920034807,7.21669930499047e-05,5.958980182185769e-06,0.0822541660163551,0.0831402089970652,0.0831361259624827,4.083034582436085e-06,0.0910022079769987,,,,,,,,,,,,,,,,,,
200,19,Random Sampling,10.514688643285556,1.0047489823609226,0.0139218211249547,0.0503840419987682,0.0011740409827325,0.0091189579979982,,,,,,,,,0.0503840419987682,0.050379748980049,4.293018719181418e-06,0.060677040979499,0.0004653749929275,0.0004027079849038,0.0030794579943176,5.8792007621377707e-05,9.208300616592167e-05,0.0462813329941127,,,,,,,,,,,,
200,19,Non-random,9.40634741234928,0.5097241067390321,0.0063961300725611,0.4578576659841928,0.0011740409827325,0.0075072499748785,,,,,,,,,0.4578576659841928,0.4578549179714173,2.748012775555253e-06,0.4665389569418039,,,,,,,0.2019173339940607,0.2559171250031795,2.0458974177017808e-05,,,,,,,,,
200,20,Random Projection,8.129609787809578,0.8417005879692446,0.0261673526814161,0.1129693329858128,0.0008133749943226,0.0172578330093529,2.1415995433926582e-05,0.0003710830060299,9.016698459163308e-05,8.341600187122822e-05,7.429101970046759e-05,6.10839924775064e-05,5.582987796515226e-06,0.1122586670098826,0.1129693329858128,0.1129657069977838,3.6259880289435382e-06,0.1310405409894883,,,,,,,,,,,,,,,,,,
200,20,Random Sampling,10.674182158502756,0.9597467209407508,0.0217870410547686,0.1372316670021973,0.0008133749943226,0.0040862500027287,,,,,,,,,0.1372316670021973,0.1372283739910926,3.2930111046880484e-06,0.1421312919992488,0.0002523330040276,0.0002047079906333,0.0042452500201761,2.929099719040096e-05,3.674998879432678e-05,0.1324600419902708,,,,,,,,,,,,
200,20,Non-random,9.485343636643504,0.6166892808683853,0.0324745673140441,0.1840939999965485,0.0008133749943226,0.0295542499807197,,,,,,,,,0.1840939999965485,0.1840922509727534,1.7490237951278689e-06,0.2144616249715909,,,,,,,0.0768245839863084,0.1072587500093504,8.916977094486356e-06,,,,,,,,,
400,1,Random Projection,10.030683430041917,0.1801144652676467,0.0222732904963405,0.1334398330072872,0.0028267499874345,0.3017106670013163,2.4250010028481483e-05,0.0535497089731507,0.0001500420039519,0.0059095410106237,0.0031352090009022,7.429200923070312e-05,4.3339969124644995e-06,0.0704353330074809,0.1334398330072872,0.1332827100122813,0.0001571229950059,0.4379772499960381,,,,,,,,,,,,,,,,,,
400,1,Random Sampling,13.11439688922156,0.345135226125014,0.0143356671037179,0.2422302079794462,0.0028267499874345,0.2404126250185072,,,,,,,,,0.2422302079794462,0.2422261250321753,4.0829472709447145e-06,0.4854695829853881,0.0009826660098042,0.0009675830078776,0.0028183749818708,8.354199235327542e-05,0.000197792018298,0.2371761670219712,,,,,,,,,,,,
400,1,Non-random,13.356129705406628,0.1275951071709123,0.0107596346625083,0.3321044170006644,0.0028267499874345,0.1271818339882884,,,,,,,,,0.3321044170006644,0.3321025829936843,1.834006980061531e-06,0.4621130009763874,,,,,,,0.2297651249973569,0.1019492079794872,0.0003882500168401,,,,,,,,,
